school_name,postal_code,mainlevel_code,latitude,longitude
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,579793,PRIMARY,1.349398136695366,103.8550182333104
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,579795,SECONDARY (S1-S5),1.350171299303138,103.8549837464155
LAKESIDE PRIMARY SCHOOL,618310,PRIMARY,1.338203977042863,103.718089546664
LIANHUA PRIMARY SCHOOL,659243,PRIMARY,1.354241911272948,103.7541658287112
LOYANG VIEW SECONDARY SCHOOL,519073,SECONDARY (S1-S5),1.366584171672383,103.9569445857245
MAHA BODHI SCHOOL,408931,PRIMARY,1.328580238735551,103.9013069041567
MANJUSRI SECONDARY SCHOOL,408940,SECONDARY (S1-S5),1.32747123084847,103.9017199638308
MARIS STELLA HIGH SCHOOL,368051,MIXED LEVEL (P1-S4),1.34139181236128,103.8777407134485
MARSILING PRIMARY SCHOOL,738927,PRIMARY,1.43383904037059,103.7736430138458
MARSILING SECONDARY SCHOOL,739110,SECONDARY (S1-S5),1.436644247699553,103.7760080904535
MARYMOUNT CONVENT SCHOOL,297754,PRIMARY,1.340438406613688,103.8398117367746
MAYFLOWER PRIMARY SCHOOL,569878,PRIMARY,1.376376835476832,103.8432528037418
MAYFLOWER SECONDARY SCHOOL,569384,SECONDARY (S1-S5),1.368272662097225,103.8353607268625
MEE TOH SCHOOL,828867,PRIMARY,1.394853560818655,103.90857257736
MERIDIAN PRIMARY SCHOOL,518798,PRIMARY,1.375506770548346,103.9349532761547
MERIDIAN SECONDARY SCHOOL,518901,SECONDARY (S1-S5),1.367246849201311,103.9489724836285
METHODIST GIRLS' SCHOOL (PRIMARY),599986,PRIMARY,1.332662135996364,103.7833821140175
METHODIST GIRLS' SCHOOL (SECONDARY),599986,SECONDARY (S1-S4),1.332662135996364,103.7833821140175
MILLENNIA INSTITUTE,658965,CENTRALISED INSTITUTE,1.350319392009867,103.7415935776833
MONTFORT JUNIOR SCHOOL,538786,PRIMARY,1.373624452340824,103.8897414579003
MONTFORT SECONDARY SCHOOL,538785,SECONDARY (S1-S5),1.373961316569128,103.8889283725771
NAN CHIAU HIGH SCHOOL,545079,SECONDARY (S1-S5),1.388795824983993,103.8900044237636
NAN CHIAU PRIMARY SCHOOL,545080,PRIMARY,1.392211499065922,103.8911809281854
NAN HUA HIGH SCHOOL,129956,SECONDARY (S1-S5),1.308095295186052,103.7685614467247
NAN HUA PRIMARY SCHOOL,128806,PRIMARY,1.319201599563877,103.7610950657604
NANYANG GIRLS' HIGH SCHOOL,288683,SECONDARY (S1-S4),1.330583266664794,103.8024209799424
NANYANG JUNIOR COLLEGE,556111,JUNIOR COLLEGE,1.35028314949236,103.8664987219115
NANYANG PRIMARY SCHOOL,268097,PRIMARY,1.321070942411543,103.8076818527984
NATIONAL JUNIOR COLLEGE,288913,MIXED LEVEL (S1-JC2),1.330292910721726,103.804110905425
NAVAL BASE PRIMARY SCHOOL,769028,PRIMARY,1.415901956976501,103.8391005902065
NAVAL BASE SECONDARY SCHOOL,768689,SECONDARY (S1-S5),1.419378816204425,103.8310503902469
NEW TOWN PRIMARY SCHOOL,148812,PRIMARY,1.299811388840579,103.7999648198951
NEW TOWN SECONDARY SCHOOL,139657,SECONDARY (S1-S5),1.309775900113593,103.7731886342096
NGEE ANN PRIMARY SCHOOL,449149,PRIMARY,1.305532241804384,103.917570005713
NGEE ANN SECONDARY SCHOOL,529283,SECONDARY (S1-S5),1.354475257558064,103.9567472624953
NORTH SPRING PRIMARY SCHOOL,545088,PRIMARY,1.387061464948597,103.9032026830277
NORTH VIEW PRIMARY SCHOOL,768960,PRIMARY,1.427451594625655,103.8483784428927
NORTH VISTA PRIMARY SCHOOL,544974,PRIMARY,1.382550661711514,103.8962645754801
NORTH VISTA SECONDARY SCHOOL,545081,SECONDARY (S1-S5),1.381131285358019,103.8991888138857
NORTHBROOKS SECONDARY SCHOOL,768692,SECONDARY (S1-S5),1.420812850206535,103.8451473325277
NORTHLAND PRIMARY SCHOOL,769026,PRIMARY,1.421304041598082,103.8407929233448
NORTHLAND SECONDARY SCHOOL,768578,SECONDARY (S1-S5),1.435801833626377,103.8401046877841
NORTHLIGHT SCHOOL,327830,SECONDARY (S1-S4),1.319100215816715,103.8557595535299
NORTHOAKS PRIMARY SCHOOL,757622,PRIMARY,1.457328673020936,103.8140756111743
